title,slug,active_installs,relevance,review_count,avg_rating
Load More Anything,ajax-load-more-anything,1000,0,20,4.4
WordPress SEO Plugin &#8211; Rank Math,seo-by-rank-math,60000,0,392,4.9
Accordion,accordions,30000,0,64,4.5
Essential Real Estate,essential-real-estate,4000,0,24,4.5
video-with-ads,video-with-ads,20,1,0,0
Image vertical reel scroll slideshow,image-vertical-reel-scroll-slideshow,1000,0,2,5
Motors &#8211; Car Dealer &amp; Classified Ads WordPress Plugin,motors-car-dealership-classified-listings,10000,0,9,3.4
FooBox Image Lightbox WordPress Plugin,foobox-image-lightbox,100000,0,61,3.7
Unite Gallery Lite,unite-gallery-lite,20000,0,48,4.6
Essential Addons for Elementor,essential-addons-for-elementor-lite,200000,0,567,4.8
WP VR &#8211; 360 Panorama and virtual tour creator for WordPress,wpvr,2000,0,18,4.3
Ninja Tables &#8211; Best WP Data Table Plugin for WordPress,ninja-tables,30000,0,86,4.4
Ultimate Maps by Supsystic,ultimate-maps-by-supsystic,3000,0,20,4.8
Video Central for WordPress,video-central,700,1,5,4.2
wpDataTables Lite &#8211; WordPress Table Plugin,wpdatatables,20000,0,22,3
Videos,videos,300,1,0,0
Extra Privacy for Elementor,extra-privacy-for-elementor,1000,0,3,5
.TUBE Video Curator,tube-video-curator,700,1,13,4.4
Product Gallery Slider for Woocommerce,woo-product-gallery-slider,7000,0,23,4.5
Responsive Filterable Portfolio,responsive-filterable-portfolio,3000,0,13,4.7
Material Design for Contact Form 7,material-design-for-contact-form-7,10000,0,49,4.3
Sitemap Generator,mb-sitemap-generator,10000,0,16,3.6
Photo Gallery Slideshow &amp; Masonry Tiled Gallery,wp-responsive-photo-gallery,3000,0,7,4.3
MetaSlider Lightbox,ml-slider-lightbox,10000,0,7,4.7
WP Smart TV,wp-smart-tv,800,0,7,5
Sermon Manager,sermon-manager-for-wordpress,10000,0,39,4
Pods &#8211; Custom Content Types and Fields,pods,70000,0,262,4.9
Kadence Blocks – Gutenberg Page Builder Toolkit,kadence-blocks,30000,0,37,5
3CX Live Chat and Talk,3cx-live-chat-talk,1000,0,7,5
WebinarPress,wp-webinarsystem,2000,0,21,4
Advanced File Manager,file-manager-advanced,20000,0,99,4.7
Popup by Supsystic,popup-by-supsystic,30000,0,307,4.7
WordPress Tooltips,wordpress-tooltips,4000,0,46,4
Create by Mediavine,mediavine-create,2000,0,9,5
"WP Offload Media Lite for Amazon S3, DigitalOcean Spaces, and Google Cloud Storage",amazon-s3-and-cloudfront,40000,0,65,4.1
CB Change Mail Sender,cb-change-mail-sender,20000,0,10,4.6
Preloader,the-preloader,20000,0,28,4.6
