title,slug,my_score,weighted,active_installs,weighted,relevance,weighted,review_count,weighted,avg_rating
Contact Form by BestWebSoft,contact-form-plugin,21.16,11.51,100000,0,0,5.65,284,4.0,4.0
Variation Swatches for WooCommerce,woo-variation-swatches,21.15,11.0,60000,0,0,5.15,173,5.0,5.0
WooCommerce HSS Extension for Streaming Video,woocommerce-hss-extension-for-streaming-video,21.089999999999996,4.61,100,10,1,2.08,8,4.4,4.4
PowerPress Podcasting plugin by Blubrry,powerpress,21.03,11.0,60000,0,0,5.23,186,4.8,4.8
"PixelYourSite &#8211; Facebook Pixel, Google Analytics, Head &amp; Footer (WooCommerce, EDD, Events)",pixelyoursite,21.03,11.51,100000,0,0,5.02,151,4.5,4.5
Slider by 10Web &#8211; Responsive Image Slider,slider-wd,21.02,11.0,60000,0,0,5.52,249,4.5,4.5
WP Video Enhanced,wp-video-enhanced,21.0,4.61,100,10,1,1.39,4,5.0,5.0
YouTube Playlists with Schema,jma-youtube-playlists-with-schema,21.0,4.61,100,10,1,1.39,4,5.0,5.0
DPlayer for WordPress,dplayer-for-wp,20.990000000000002,5.3,200,10,1,0.69,2,5.0,5.0
Google Analytics Dashboard Plugin for WordPress by Analytify,wp-analytify,20.94,10.6,40000,0,0,5.54,254,4.8,4.8
Google Maps Easy,google-maps-easy,20.91,10.82,50000,0,0,5.39,220,4.7,4.7
External Videos,external-videos,20.91,5.7,300,10,1,1.61,5,3.6,3.6
Porn Videos Embed,porn-videos-embed,20.79,5.99,400,10,1,1.1,3,3.7,3.7
"Video Recorder, Video Converter &amp; Video Uploader",clipchamp-video-converter-video-uploader-and-webcam-recorder,20.78,5.99,400,10,1,1.79,6,3.0,3.0
Schema,schema,20.759999999999998,11.0,60000,0,0,5.16,174,4.6,4.6
Popup by Supsystic,popup-by-supsystic,20.74,10.31,30000,0,0,5.73,307,4.7,4.7
Accessible Video Library,accessible-video-library,20.71,4.61,100,10,1,1.1,3,5.0,5.0
Youtube Subtitle Grabber,grab-youtube-subtitle,20.71,4.61,100,10,1,1.1,3,5.0,5.0
Clearfy – WordPress optimization plugin and disable ultimate tweaker,clearfy,20.71,11.16,70000,0,0,4.95,141,4.6,4.6
Automatic YouTube Gallery,automatic-youtube-gallery,20.71,4.61,100,10,1,1.1,3,5.0,5.0
Responsive Videos,responsive-youtube-videos,20.700000000000003,5.3,200,10,1,1.1,3,4.3,4.3
Free Responsive iframe Video Embeds,free-responsive-iframe-video-embeds,20.7,5.7,300,10,1,0.0,1,5.0,5.0
Video Lessons Manager,cm-video-lesson-manager,20.69,5.3,200,10,1,1.39,4,4.0,4.0
Portfolio Designer – WordPress Portfolio Plugin (Image/Video/Slider Gallery),portfolio-designer-lite,20.69,5.3,200,10,1,1.39,4,4.0,4.0
Unyson,unyson,20.69,12.21,200000,0,0,4.28,72,4.2,4.2
CMP &#8211; Coming Soon &amp; Maintenance Plugin by NiteoThemes,cmp-coming-soon-maintenance,20.68,10.82,50000,0,0,4.96,142,4.9,4.9
Revive Old Posts &#8211; Auto Post to Social Media,tweet-old-post,20.64,10.82,50000,0,0,5.92,371,3.9,3.9
Image Photo Gallery Final Tiles Grid,final-tiles-grid-gallery-lite,20.64,10.31,30000,0,0,5.53,252,4.8,4.8
"Arrow YouTube Feed, Youtube Channel Feed",add-youtube-feed,20.6,6.91,1000,10,1,0.69,2,3.0,3.0
KVS Player,kvs-flv-player,20.6,6.91,1000,10,1,0.69,2,3.0,3.0
Schema &#8211; All In One Schema Rich Snippets,all-in-one-schemaorg-rich-snippets,20.58,11.41,90000,0,0,4.97,144,4.2,4.2
WordPress Photo Gallery Plugin by Gallery Bank,gallery-bank,20.53,9.21,10000,0,0,6.82,914,4.5,4.5
a3 Lazy Load,a3-lazy-load,20.51,11.51,100000,0,0,4.7,110,4.3,4.3
Ultimate Addons for Beaver Builder &#8211; Lite,ultimate-addons-for-beaver-builder-lite,20.51,9.9,20000,0,0,5.61,272,5.0,5.0
White Label CMS,white-label-cms,20.5,11.51,100000,0,0,4.29,73,4.7,4.7
ConvertPlayer &#8211; Make Your Videos Work Harder,convertplayer-video-lead-capture-player-for-youtube-vimeo,20.490000000000002,5.3,200,10,1,0.69,2,4.5,4.5
